geneID	flhDCn	flhDCp
b0159	1844	1516
b0177	3791	3251
b4502	47	241
b3526	832	934
b0262	45	59
b2691	17	17
b0319	2	12
b2995	91	78
b1440	519	203
b1526	68	44
b3338	345	331
b3533	159	287
b4690	44	53
b3448	2372	1900
b3859	1535	1478
b2072	4	43
b1821	23	31
b2836	861	684
b3061	6	16
b0814	38728	36292
b0138	6	12
b3273	0	0
b1466	15	20
b0826	322	280
b1556	1	5
b3778	657	830
b1706	860	1837
b1689	5	6
b2209	1202	1444
b2921	25	26
b0726	6446	5136
b1761	1790	4376
b2960	687	594
b0294	34	21
b2257	0	0
b0825	103	76
b0699	10088	6290
b2436	213	375
b1500	0	2
b3261	465	305
b0675	490	728
b0996	7	8
b1189	2060	2085
b3139	12	22
b3231	9218	7230
b1780	416	310
b3275	3	0
b4521	0	38
b0405	359	293
b2989	1404	1150
b2284	2084	791
b2627	217	218
b1375	0	0
b3582	11	27
b1837	348	181
b1805	624	568
b1922	1946	21104
b3211	120	234
b1679	80	57
b2728	2	6
b1291	222	159
b3415	1247	1336
b0194	2673	2233
b0391	3456	2910
b2629	7	6
b3125	264	280
b3558	169	179
b1347	0	3
b2384	21	78
b3848	291	208
b1233	291	248
b4329	0	0
b4509	0	0
b4435	3	6
b1441	188	63
b3317	10327	8366
b3206	50	75
b1508	27	31
b0502	38	39
b2429	129	72
b2893	499	1856
b0068	0	0
b2769	39	71
b0014	7820	5052
b0334	0	0
b3976	11	17
b4066	0	0
b4243	1280	679
b0158	56	53
b1159	0	0
b3892	457	494
b0643	2901	1202
b4200	2626	1781
b1307	96	129
b1917	406	1063
b3172	873	668
b0181	1924	2205
b1827	455	292
b1202	108	194
b0219	694	522
b0900	54	39
b3869	442	437
b3418	6236	3095
b4155	317	990
b0214	277	692
b1403	0	0
b1486	29	24
b2663	269	118
b0431	3100	1256
b0542	2	6
b4060	384	418
b2526	4418	4373
b2017	50	70
b1148	0	0
b2774	9	23
b3957	660	652
b2485	3	7
b4308	43	39
b3608	2538	1639
b3857	103	109
b2118	40	63
b0558	16	11
b4578	6	24
b4595	368	270
b1160	708	233
b2187	177	182
b0236	11	26
b2481	1	5
b0271	894	947
b1310	2	5
b0751	452	445
b2328	150	138
b1326	518	375
b0108	4	26
b0763	510	1721
b2518	1139	702
b2405	215	276
b2881	123	251
b4074	57	85
b4598	251	145
b3917	488	1124
b3048	46	67
b4024	512	451
b1176	336	230
b2079	269	550
b0426	2728	2561
b3473	599	699
b0804	20	27
b3828	290	329
b3242	22	29
b4363	25	30
b4465	26	38
b2660	716	352
b3896	15	25
b4594	9	3
b2080	2350	1138
